Date,Close,Open,High,Low,Vol.
15/04/2018,8363.60,8004.60,8411.50,8004.60,160.26K
16/04/2018,8070.00,8362.20,8412.90,7908.50,197.70K
17/04/2018,7908.60,8070.00,8171.70,7852.80,162.59K
18/04/2018,8178.40,7908.50,8227.60,7895.30,163.26K
19/04/2018,8290.80,8179.00,8303.70,8126.70,155.08K
20/04/2018,8867.00,8292.30,8926.20,8224.50,225.96K
21/04/2018,8923.10,8867.00,9027.70,8614.50,206.01K
22/04/2018,8806.70,8923.60,9022.30,8766.50,161.89K
23/04/2018,8952.80,8809.30,9001.00,8785.30,147.54K
24/04/2018,9645.30,8952.70,9734.80,8937.00,260.79K
25/04/2018,8873.10,9645.00,9753.10,8768.10,395.67K
26/04/2018,9287.00,8874.50,9303.60,8669.80,248.39K
27/04/2018,8940.90,9282.80,9386.30,8920.20,184.91K
28/04/2018,9352.40,8940.80,9428.90,8895.50,199.78K
29/04/2018,9415.10,9352.20,9565.10,9182.80,184.72K
30/04/2018,9245.10,9415.80,9456.70,9135.40,156.83K
01/05/2018,9074.90,9245.10,9245.10,8851.00,173.35K
02/05/2018,9243.20,9076.80,9265.70,8991.90,137.48K
03/05/2018,9749.70,9244.20,9809.40,9171.40,201.18K
04/05/2018,9708.60,9747.60,9800.90,9549.00,161.55K
05/05/2018,9853.50,9709.50,9992.80,9691.30,158.45K
06/05/2018,9656.40,9859.60,9957.70,9446.70,150.95K
07/05/2018,9431.60,9651.10,9675.60,9204.20,165.08K
08/05/2018,9196.40,9373.90,9404.40,9079.80,157.45K
09/05/2018,9319.10,9194.90,9377.90,8988.00,147.89K
10/05/2018,9025.70,9319.20,9393.30,9013.40,152.71K
11/05/2018,8408.30,9026.00,9028.70,8359.60,270.62K
12/05/2018,8459.50,8409.60,8646.10,8184.10,210.87K
13/05/2018,8693.50,8489.10,8758.40,8330.00,149.80K
14/05/2018,8674.10,8693.40,8878.30,8305.10,212.05K
15/05/2018,8477.00,8674.00,8842.10,8436.50,179.62K
16/05/2018,8344.40,8477.00,8496.40,8120.10,188.03K
17/05/2018,8063.00,8344.60,8458.70,8022.30,154.36K
18/05/2018,8245.70,8064.40,8273.60,7939.80,150.32K
19/05/2018,8245.10,8244.70,8389.10,8153.20,107.89K
20/05/2018,8529.00,8243.90,8580.40,8184.70,113.76K
21/05/2018,8403.30,8529.50,8550.60,8375.50,115.52K
22/05/2018,8006.00,8403.80,8414.50,7979.30,137.51K
23/05/2018,7512.30,8005.70,8047.40,7467.60,237.60K
24/05/2018,7592.90,7512.30,7736.60,7293.40,211.11K
25/05/2018,7477.70,7593.90,7653.40,7355.60,161.82K
26/05/2018,7361.30,7478.50,7619.30,7331.50,103.07K
27/05/2018,7366.70,7361.90,7411.80,7267.50,103.29K
28/05/2018,7119.30,7367.30,7446.90,7090.60,152.29K
29/05/2018,7467.70,7119.30,7533.00,7069.80,186.97K
30/05/2018,7400.10,7469.20,7565.20,7306.80,140.37K
31/05/2018,7502.60,7400.80,7611.90,7355.00,144.52K
01/06/2018,7530.80,7502.50,7610.40,7375.80,135.92K
02/06/2018,7646.60,7530.80,7694.50,7467.90,121.18K
03/06/2018,7729.30,7646.60,7775.00,7611.30,116.68K
04/06/2018,7504.30,7729.30,7759.90,7468.40,141.01K
05/06/2018,7631.50,7507.40,7672.60,7391.00,145.23K
06/06/2018,7661.00,7631.50,7699.10,7504.40,130.66K
07/06/2018,7697.80,7661.00,7754.70,7657.70,124.00K
08/06/2018,7622.10,7697.90,7710.50,7556.90,112.88K
09/06/2018,7515.80,7622.10,7689.00,7493.30,97.56K
10/06/2018,6775.10,7515.80,7516.30,6668.10,275.69K
11/06/2018,6885.90,6775.20,6910.80,6657.20,174.88K
12/06/2018,6558.20,6885.90,6887.20,6476.00,178.26K
13/06/2018,6312.30,6558.50,6624.60,6129.10,237.48K
14/06/2018,6647.10,6312.30,6711.50,6283.60,201.54K
15/06/2018,6410.30,6647.30,6655.80,6395.70,143.53K
16/06/2018,6505.80,6410.00,6564.20,6358.00,108.79K
17/06/2018,6460.30,6505.80,6593.00,6452.10,90.67K
18/06/2018,6719.80,6460.50,6794.50,6410.90,135.70K
19/06/2018,6752.40,6719.80,6839.50,6681.50,120.54K
20/06/2018,6765.40,6752.30,6812.70,6575.10,121.48K
21/06/2018,6728.00,6765.80,6797.50,6695.10,99.29K
22/06/2018,6055.70,6728.20,6739.70,5955.00,278.22K
23/06/2018,6167.30,6055.20,6259.00,6032.80,142.90K
24/06/2018,6154.60,6167.90,6248.30,5785.30,240.60K
25/06/2018,6256.60,6155.10,6331.20,6101.70,210.69K
26/06/2018,6082.10,6256.90,6267.70,6060.00,176.66K
27/06/2018,6154.90,6081.10,6187.30,6025.40,133.42K
28/06/2018,5883.50,6154.90,6178.40,5854.00,156.05K
29/06/2018,6213.30,5883.20,6284.90,5818.50,206.96K
30/06/2018,6398.90,6213.40,6498.50,6204.00,189.33K
01/07/2018,6366.80,6398.50,6445.10,6284.70,128.51K
02/07/2018,6619.50,6349.10,6680.00,6275.00,179.92K
03/07/2018,6513.50,6618.60,6676.60,6513.50,150.19K
04/07/2018,6598.40,6513.80,6774.50,6442.30,143.04K
05/07/2018,6546.50,6598.00,6693.60,6466.10,166.18K
06/07/2018,6617.70,6546.50,6638.20,6458.30,132.69K
