Date,Close,Open,High,Low,Vol.
15/04/2018,533.90,502.52,534.18,502.52,988.29K
16/04/2018,511.82,533.89,537.32,498.87,1.03M
17/04/2018,503.19,511.75,520.86,501.73,826.71K
18/04/2018,525.66,503.24,526.41,502.02,759.15K
19/04/2018,567.49,525.74,570.15,522.15,1.04M
20/04/2018,617.04,567.70,620.58,558.27,1.42M
21/04/2018,605.59,617.10,623.86,574.73,1.23M
22/04/2018,622.23,605.58,643.58,591.78,1.02M
23/04/2018,644.13,622.01,648.58,619.81,859.64K
24/04/2018,703.02,644.08,711.74,644.05,1.48M
25/04/2018,617.36,702.94,703.25,594.98,2.72M
26/04/2018,662.36,617.37,665.20,600.69,1.37M
27/04/2018,643.97,661.65,685.54,641.84,1.06M
28/04/2018,683.49,643.96,693.79,640.92,871.55K
29/04/2018,689.90,683.49,700.05,669.15,856.12K
30/04/2018,670.07,689.83,693.85,664.03,913.86K
01/05/2018,671.26,670.12,674.36,630.33,1.03M
02/05/2018,688.15,671.31,690.97,664.29,873.98K
03/05/2018,778.95,688.23,788.61,686.79,1.55M
04/05/2018,785.20,778.97,806.90,760.10,1.24M
05/05/2018,818.33,785.29,830.03,782.18,1.00M
06/05/2018,793.19,818.75,838.26,755.09,1.16M
07/05/2018,754.03,793.29,797.30,700.40,2.12M
08/05/2018,748.48,759.35,761.43,721.49,1.14M
09/05/2018,751.62,747.98,759.71,711.49,1.07M
10/05/2018,724.40,751.98,768.24,723.39,983.14K
11/05/2018,676.21,724.36,736.58,665.81,1.63M
12/05/2018,683.94,676.97,689.83,635.23,1.34M
13/05/2018,729.37,684.77,739.67,669.20,1.01M
14/05/2018,727.06,729.41,741.52,687.16,1.39M
15/05/2018,705.73,727.06,738.71,696.63,1.03M
16/05/2018,706.53,705.73,710.49,667.51,978.18K
17/05/2018,668.97,706.53,718.50,663.91,953.69K
18/05/2018,693.28,668.98,694.24,658.25,906.93K
19/05/2018,696.76,693.28,716.51,683.38,732.31K
20/05/2018,716.02,696.73,722.92,688.70,702.63K
21/05/2018,696.85,716.02,718.06,694.07,590.69K
22/05/2018,642.17,696.84,698.48,639.20,928.09K
23/05/2018,577.55,642.02,649.85,564.74,1.78M
24/05/2018,602.43,577.52,609.39,547.39,1.56M
25/05/2018,585.39,602.40,616.48,569.77,1.08M
26/05/2018,586.76,585.39,606.26,579.36,651.25K
27/05/2018,570.69,586.63,591.48,558.44,892.94K
28/05/2018,512.29,570.67,575.00,507.72,1.50M
29/05/2018,566.81,512.32,572.71,511.94,1.38M
30/05/2018,557.98,566.86,584.90,543.16,1.06M
31/05/2018,577.87,557.96,586.15,554.96,922.24K
01/06/2018,579.30,577.87,589.55,565.69,861.91K
02/06/2018,591.30,579.34,598.78,574.80,808.42K
03/06/2018,619.08,591.33,627.51,590.81,764.93K
04/06/2018,591.44,619.09,624.81,580.71,809.80K
05/06/2018,608.83,591.44,613.00,577.53,829.99K
06/06/2018,606.39,608.83,611.63,593.98,700.74K
07/06/2018,604.71,606.39,616.52,600.29,843.32K
08/06/2018,599.67,604.71,608.32,593.74,622.54K
09/06/2018,593.80,599.67,608.65,592.54,534.16K
10/06/2018,524.64,593.80,593.82,503.43,1.49M
11/06/2018,531.42,524.64,535.63,510.29,1.21M
12/06/2018,494.48,531.40,538.16,484.99,1.24M
13/06/2018,476.17,494.60,501.64,450.67,1.56M
14/06/2018,519.49,476.17,525.21,461.62,1.70M
15/06/2018,487.88,519.49,520.73,483.99,1.25M
16/06/2018,496.93,487.88,502.47,484.89,749.09K
17/06/2018,496.43,496.95,507.19,494.73,604.79K
18/06/2018,517.91,496.47,523.95,489.16,842.05K
19/06/2018,538.22,517.91,547.50,514.88,985.96K
20/06/2018,536.31,538.22,541.08,517.42,873.14K
21/06/2018,526.01,536.31,544.71,522.47,774.03K
22/06/2018,462.57,525.97,526.26,450.72,1.74M
23/06/2018,474.14,462.58,482.42,456.46,1.22M
24/06/2018,454.81,474.14,475.74,419.56,2.64M
25/06/2018,458.76,454.81,472.54,437.08,4.41M
26/06/2018,430.33,458.76,459.96,429.87,5.31M
27/06/2018,442.16,430.32,445.38,423.01,2.02M
28/06/2018,421.27,442.16,443.32,418.62,1.66M
29/06/2018,435.37,421.23,441.29,406.12,1.78M
30/06/2018,452.67,434.92,457.49,433.46,1.82M
01/07/2018,452.57,452.72,456.02,445.06,1.67M
02/07/2018,475.70,452.57,479.94,442.29,1.91M
03/07/2018,461.89,475.73,483.93,460.63,1.72M
04/07/2018,467.52,461.90,480.69,453.94,1.28M
05/07/2018,468.47,467.58,478.59,459.68,1.74M
06/07/2018,469.90,468.47,474.58,455.05,1.75M
07/07/2018,485.40,469.91,486.18,464.29,1.62M
08/07/2018,486.45,485.40,494.03,482.24,2.16M
09/07/2018,471.52,486.41,488.10,469.93,1.20M
10/07/2018,432.67,471.77,473.36,429.39,1.62M
11/07/2018,445.99,432.67,447.62,425.60,1.05M
12/07/2018,430.84,445.96,446.27,418.71,1.55M
13/07/2018,432.85,430.86,442.02,425.77,1.24M
14/07/2018,434.09,432.88,439.94,429.89,932.65K
15/07/2018,450.81,434.09,455.68,432.59,916.02K
16/07/2018,479.79,450.87,480.84,446.14,1.42M
17/07/2018,499.87,479.68,511.54,467.33,1.70M
18/07/2018,480.00,499.86,515.20,470.91,1.52M
19/07/2018,469.47,480.00,484.00,463.94,1.21M
20/07/2018,449.38,469.48,469.74,441.74,1.52M
21/07/2018,461.52,449.44,468.95,443.04,972.66K
22/07/2018,459.02,461.51,472.88,456.35,918.81K
23/07/2018,450.56,459.02,470.37,448.14,1.32M
24/07/2018,479.88,450.58,484.30,449.44,1.59M
25/07/2018,472.03,479.78,484.97,464.75,1.38M
26/07/2018,462.75,472.03,484.59,460.61,1.11M
27/07/2018,470.23,462.79,473.58,457.36,1.17M
28/07/2018,468.78,470.24,471.47,461.55,1.07M
29/07/2018,466.41,468.89,471.78,462.04,1.04M
30/07/2018,456.64,466.41,468.60,447.06,1.38M
31/07/2018,431.50,456.65,457.33,427.81,1.52M
01/08/2018,420.30,431.88,434.43,407.96,1.64M
02/08/2018,411.00,420.33,424.51,408.21,1.32M
03/08/2018,417.58,411.00,419.74,398.10,1.43M
04/08/2018,407.09,417.58,419.70,402.52,1.14M
05/08/2018,408.85,407.11,412.51,401.22,1.02M
06/08/2018,405.40,408.81,413.40,401.66,1.02M
07/08/2018,378.25,405.38,410.57,370.06,1.63M
